Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Price,Location_Downtown,Location_Rural,Location_Suburban,Location_Urban,Condition_Excellent,Condition_Fair,Condition_Good,Condition_Poor,Garage_No,Garage_Yes
1,0.1909737661182748,1.0,1.0,1.0,0.5691056910569117,149919,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0.8383726100489106,1.0,1.0,1.0,0.4715447154471537,424998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0.6871943085815918,0.25,0.3333333333333333,1.0,0.308943089430894,266746,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,0.10337927967985772,0.75,0.3333333333333333,0.5,0.01626016260162544,244020,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0.9837705646954201,0.0,1.0,0.5,0.6097560975609753,636056,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,0.7654513116940862,0.0,0.3333333333333333,0.0,0.04878048780487809,93262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
7,0.7047576700755891,0.0,0.0,0.5,0.39024390243902474,448722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,0.6487327701200534,0.25,1.0,0.0,0.2032520325203251,594893,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,0.02867941307247665,0.25,0.3333333333333333,0.0,0.2601626016260159,652878,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,0.3743886171631836,0.5,0.6666666666666667,0.0,0.8130081300813004,340375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,0.1707425522454424,0.0,1.0,0.5,0.382113821138212,653685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,0.5313472654513116,0.75,1.0,1.0,0.6341463414634134,127123,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13,0.5406847487772343,0.75,0.6666666666666667,0.5,0.00813008130081272,849947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14,0.26300578034682076,0.0,0.0,0.0,0.8455284552845512,399355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15,0.7523343708314806,0.0,0.6666666666666667,0.0,0.5691056910569117,481838,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
16,0.9150733659404179,0.0,1.0,0.5,0.2520325203252032,853032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17,0.6453979546465095,0.25,0.0,0.0,0.024390243902438158,208964,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
18,0.1051578479324144,0.25,0.3333333333333333,0.0,0.154471544715447,905742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,0.24032903512672296,0.25,0.3333333333333333,0.5,0.9186991869918693,989305,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20,0.5684748777234326,1.0,0.3333333333333333,0.5,0.9430894308943074,218767,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,0.45486883059137395,0.75,1.0,0.5,0.28455284552845583,996357,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,0.6104935526900844,0.75,0.6666666666666667,0.0,0.2520325203252032,709789,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,0.21654068474877722,0.5,0.0,0.0,0.21951219512195053,709966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,0.40128946198310356,0.25,0.3333333333333333,1.0,0.617886178861788,447694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25,0.04179635393508227,1.0,0.0,1.0,0.0,688668,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
26,0.6076033792796798,1.0,1.0,0.5,0.4796747967479664,527032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
27,0.6678523788350378,0.75,0.3333333333333333,1.0,0.44715447154471555,745494,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
